citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	dists37	dists38	dists39	dists40	dists41	dists42	dists43	dists44	dists45	dists46	dists47	dists48	dists49	dists50	dists51	dists52	dists53	dists54	dists55	dists56	dists57	dists58	dists59	dists60	dists61	dists62	dists63	dists64	dists65	dists66	dists67	dists68	dists69	dists70	dists71	dists72	dists73	dists74	dists75	dists76	dists77	dists78	dists79	dists80	dists81	dists82	dists83	dists84	dists85	dists86	dists87	dists88	dists89	dists90	dists91	dists92	dists93	dists94	dists95	dists96	dists97	dists98	dists99	dists100	dists101	dists102	dists103	dists104	dists105	dists106	dists107	dists108	dists109	dists110	dists111	dists112	dists113	dists114	dists115	dists116	dists117	dists118	dists119	dists120	dists121	dists122	dists123	dists124	dists125	dists126	dists127	dists128	dists129	dists130	dists131	dists132	dists133	dists134	dists135	dists136	dists137	dists138	dists139	dists140	dists141	dists142	dists143	dists144	dists145	dists146	dists147	dists148	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	times37	times38	times39	times40	times41	times42	times43	times44	times45	times46	times47	times48	times49	times50	times51	times52	times53	times54	times55	times56	times57	times58	times59	times60	times61	times62	times63	times64	times65	times66	times67	times68	times69	times70	times71	times72	times73	times74	times75	times76	times77	times78	times79	times80	times81	times82	times83	times84	times85	times86	times87	times88	times89	times90	times91	times92	times93	times94	times95	times96	times97	times98	times99	times100	times101	times102	times103	times104	times105	times106	times107	times108	times109	times110	times111	times112	times113	times114	times115	times116	times117	times118	times119	times120	times121	times122	times123	times124	times125	times126	times127	times128	times129	times130	times131	times132	times133	times134	times135	times136	times137	times138	times139	times140	times141	times142	times143	times144	times145	times146	times147	times148	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	region37	region38	region39	region40	region41	region42	region43	region44	region45	region46	region47	region48	region49	region50	region51	region52	region53	region54	region55	region56	region57	region58	region59	region60	region61	region62	region63	region64	region65	region66	region67	region68	region69	region70	region71	region72	region73	region74	region75	region76	region77	region78	region79	region80	region81	region82	region83	region84	region85	region86	region87	region88	region89	region90	region91	region92	region93	region94	region95	region96	region97	region98	region99	region100	region101	region102	region103	region104	region105	region106	region107	region108	region109	region110	region111	region112	region113	region114	region115	region116	region117	region118	region119	region120	region121	region122	region123	region124	region125	region126	region127	region128	region129	region130	region131	region132	region133	region134	region135	region136	region137	region138	region139	region140	region141	region142	region143	region144	region145	region146	region147	region148	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36	country37	country38	country39	country40	country41	country42	country43	country44	country45	country46	country47	country48	country49	country50	country51	country52	country53	country54	country55	country56	country57	country58	country59	country60	country61	country62	country63	country64	country65	country66	country67	country68	country69	country70	country71	country72	country73	country74	country75	country76	country77	country78	country79	country80	country81	country82	country83	country84	country85	country86	country87	country88	country89	country90	country91	country92	country93	country94	country95	country96	country97	country98	country99	country100	country101	country102	country103	country104	country105	country106	country107	country108	country109	country110	country111	country112	country113	country114	country115	country116	country117	country118	country119	country120	country121	country122	country123	country124	country125	country126	country127	country128	country129	country130	country131	country132	country133	country134	country135	country136	country137	country138	country139	country140	country141	country142	country143	country144	country145	country146	country147	country148
Independence, Missouri, United States	2155.2270793554558	1249.4812332587555	7.688888888888897	2.942955598428377	3	503.7235159995153	2436.729824685446	3525.2278973814055																																																																																																																																																			3.5333333333333563	9.566666666666668	9.966666666666667																																																																																																																																																			Connecticut	Michigan	Ontario																																																																																																																																																			United States	United States	Canada																																																																																																																																																		
Tapachula, Chiapas, Mexico	1380.0597300639488	743.9043435091219	7.48181818181819	0.9930428328890163	22	2332.2432562494723	2656.0919977116914	2122.9640014640395	888.6208895973821	2475.9550776543665	1593.006722261705	2002.5195533789415	366.5239228124512	1298.8996510341965	903.9885946152726	186.11780129985448	2064.6273767628713	2052.282530177908	716.4515602050752	1222.4435052638153	1798.5062951098434	29.90886098770057	725.6482905621882	1851.898871076475	1209.5265344529707	1105.4954308527992	757.593337875858																																																																																																																																6.633333333333345	4.30000000000002	5.533333333333349	6.600000000000012	6.733333333333345	7.966666666666674	7.9000000000000075	7.933333333333341	8.33333333333334	8.100000000000007	7.566666666666675	6.900000000000011	7.733333333333341	8.466666666666672	7.666666666666675	8.466666666666672	7.700000000000008	8.166666666666673	8.066666666666674	7.733333333333341	7.9000000000000075	8.200000000000006																																																																																																																																Ontario	Texas	North Dakota	California	Pennsylvania	Massachusetts	North Carolina	North Carolina	Alberta	Alberta	Pennsylvania	Pennsylvania	Pennsylvania	Aargau	Aargau	Alberta	Alberta	Alberta	Saxony	Aargau	Aargau	Ontario																																																																																																																																Canada	United States	United States	United States	United States	United States	United States	United States	Canada	Canada	United States	United States	United States	Switzerland	Switzerland	Canada	Canada	Canada	Germany	Switzerland	Switzerland	Canada																																																																																																																															
Vacaville, California, United States	1227.615408680746	1500.3413856486177	8.006666666666673	0.6395831976112754	5	335.62586875402695	4185.795943684951	802.1676458121245	708.5899178908043	105.89766726182361																																																																																																																																																	7.533333333333342	8.86666666666667	8.433333333333339	7.066666666666677	8.13333333333334																																																																																																																																																	Pennsylvania	Pennsylvania	California	Aargau	California																																																																																																																																																	United States	United States	United States	Switzerland	United States																																																																																																																																																
Heroica Nogales, Sonora, Mexico	1130.43508646195	547.482051581555	6.889247311827967	1.5998966610170855	31	1486.1599415775127	1374.3755280544158	804.5002729655758	1576.7922007196173	1071.2366316528105	1141.5957212624282	1607.1354240959572	1184.95267209035	1260.620219481102	1585.9424076119226	254.18842702043807	1194.9584000578388	904.4245391646024	543.0812200819094	1521.9474634524697	77.97601860867852	1820.5330469066066	481.8969768686063	1870.252937369528	1640.9202399124702	856.4783734163543	1062.2042148340295	88.67759594420284	1421.8239677763647	2443.7742204454603	388.98655770624697	772.7716184312303	1418.0818341827323	1338.2097726549262	509.0719919077424	1339.9172440663253																																																																																																																							4.8000000000000185	6.6666666666666785	7.833333333333341	4.433333333333353	6.300000000000013	6.900000000000011	8.300000000000006	6.133333333333347	8.000000000000007	8.13333333333334	7.666666666666675	7.9000000000000075	7.333333333333343	7.1333333333333435	7.500000000000009	7.633333333333342	7.533333333333342	5.566666666666682	8.200000000000006	7.566666666666675	7.833333333333341	4.40000000000002	6.700000000000012	7.666666666666675	0.5666666666666921	8.366666666666672	5.43333333333335	8.000000000000007	7.766666666666675	7.6000000000000085	7.700000000000008																																																																																																																							Ontario	New York	New York	Arkansas	New York	Quebec	New South Wales	Florida	California	Pennsylvania	North Carolina	Pennsylvania	Pennsylvania	Pennsylvania	Pennsylvania	Pennsylvania	Texas	Pennsylvania	Saxony	New York	Pennsylvania	Maryland	Pennsylvania	Aargau	Indiana	Alberta	Texas	Ontario	Ontario	Ontario	Ontario																																																																																																																							Canada	United States	United States	United States	United States	Canada	Australia	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	Germany	United States	United States	United States	United States	Switzerland	United States	Canada	United States	Canada	Canada	Canada	Canada																																																																																																																						
San Cristóbal, Chiapas, Mexico	1122.2158058557998	518.6292430006074	7.319047619047628	1.0337977158560268	21	508.5757990963195	1137.5219790558554	446.97752228497103	1491.187492797468	1137.1796225646804	702.4947752288743	617.4454538192642	1528.4532315740203	1496.982290473963	1235.3755576466904	1001.4490969833033	1048.2429713734894	2143.2582945354834	1908.671374436839	1921.6921070707099	746.789059859644	1335.981635983194	1370.8033262761683	1160.526351552635	474.44526433293805	152.47871602528826																																																																																																																																	5.43333333333335	7.533333333333342	8.13333333333334	7.400000000000009	8.13333333333334	7.9000000000000075	8.266666666666673	6.000000000000014	8.33333333333334	5.066666666666684	7.700000000000008	5.23333333333335	7.400000000000009	7.833333333333341	6.966666666666677	8.066666666666674	8.400000000000006	7.500000000000009	8.066666666666674	6.400000000000013	7.933333333333341																																																																																																																																	Manitoba	North Carolina	Florida	New York	Pennsylvania	Alberta	Aargau	Pennsylvania	Alberta	North Holland	North Holland	Aargau	Aargau	California	Aargau	Michigan	Aargau	Virginia	Ontario	Ontario	Ontario																																																																																																																																	Canada	United States	United States	United States	United States	Canada	Switzerland	United States	Canada	Netherlands	Netherlands	Switzerland	Switzerland	United States	Switzerland	United States	Switzerland	United States	Canada	Canada	Canada																																																																																																																																
Ciudad del Carmen, Campeche, Mexico	1070.271344194748	809.1330111785766	7.313636363636373	1.623553251574419	22	1796.030762881591	799.4568823847196	422.5551337821502	889.2580861071099	1173.9369925711492	266.0709839648174	1181.708453463848	1178.5652703509406	716.6491075152688	1262.5008977658006	839.0277656970434	1114.8769875778332	729.6964998536777	600.3504275215847	450.81481123573434	496.53069949662756	4401.182340944819	1106.6228583219427	1486.846738537028	993.2750513610093	843.6003401261858	796.4124808235831																																																																																																																																5.23333333333335	8.400000000000006	3.9000000000000217	7.766666666666675	8.000000000000007	7.666666666666675	8.466666666666672	8.500000000000005	7.6000000000000085	7.933333333333341	2.6333333333333595	8.400000000000006	7.533333333333342	7.30000000000001	7.30000000000001	4.900000000000018	9.633333333333335	8.300000000000006	8.066666666666674	7.666666666666675	8.200000000000006	7.500000000000009																																																																																																																																California	California	New York	Pennsylvania	Aargau	Aargau	Pennsylvania	Pennsylvania	California	Alberta	North Carolina	Pennsylvania	California	California	Aargau	Baden-Württemberg	British Columbia	Aargau	Colorado	Ontario	Ontario	Aargau																																																																																																																																United States	United States	United States	United States	Switzerland	Switzerland	United States	United States	United States	Canada	United States	United States	United States	United States	Switzerland	Germany	Canada	Switzerland	United States	Canada	Canada	Switzerland																																																																																																																															
Chetumal, Quintana Roo, Mexico	1060.0058684810797	575.6133407382332	6.911111111111122	1.852392513667483	27	264.4157422422716	1139.5596616350972	536.2065675681423	1349.9328664572085	1910.4658381895235	1663.7012137184545	1331.8162179339797	1236.777771621662	1557.1328484581657	286.9474393120292	1847.647346330224	646.718423836248	107.58012407145554	1299.254493661101	1225.836175554989	1046.779775320266	726.8172312519694	309.0416351566714	1113.3546155904166	1052.555943247897	2187.057529409436	1022.3266350619049	181.1441998467006	750.0840275690173	1196.6027086780082	2076.9418252848504	553.4595919814586																																																																																																																											7.366666666666676	8.600000000000005	2.866666666666692	7.20000000000001	8.500000000000005	5.600000000000016	6.566666666666679	7.366666666666676	7.866666666666674	6.333333333333346	7.466666666666676	6.533333333333346	7.4333333333333425	7.566666666666675	2.1333333333333613	1.2666666666666928	7.233333333333343	7.633333333333342	7.933333333333341	8.166666666666673	7.10000000000001	8.433333333333339	8.23333333333334	8.500000000000005	7.500000000000009	7.20000000000001	8.000000000000007																																																																																																																											Washington	California	Michigan	California	Washington	Connecticut	Pennsylvania	Pennsylvania	North Carolina	Pennsylvania	Florida	New York	Florida	New York	Florida	New York	Aargau	California	California	Alberta	Aargau	Alberta	Pennsylvania	Alberta	Saxony	Pennsylvania	Aargau																																																																																																																											United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	Switzerland	United States	United States	Canada	Switzerland	Canada	United States	Canada	Germany	United States	Switzerland																																																																																																																										
Escuintla, Chiapas, Mexico	1047.200611254782	429.6599193491922	7.185714285714297	1.7917675181234447	21	1830.1945328454847	1023.1819035121292	994.5768119578496	1518.5942159122558	1309.3222622916926	908.1880840688755	1352.5373005756774	1379.681246295602	569.4936487236814	797.5675196420641	920.1202931964842	1540.4659597061247	93.88272474764986	40.18485789103577	973.3239657952229	1253.6739705487485	1196.1997317829355	1417.2171489011412	1081.9800704238378	798.0735240039836	992.7530635279464																																																																																																																																	1.0666666666666922	8.500000000000005	7.866666666666674	8.466666666666672	7.800000000000008	5.933333333333348	8.066666666666674	5.43333333333335	5.033333333333351	7.9000000000000075	7.9000000000000075	8.100000000000007	7.033333333333344	6.966666666666677	8.666666666666671	8.433333333333339	4.833333333333352	8.500000000000005	7.9000000000000075	8.300000000000006	8.200000000000006																																																																																																																																	New York	California	New York	Pennsylvania	North Carolina	Michigan	Pennsylvania	Florida	New York	Aargau	California	Pennsylvania	Pennsylvania	Pennsylvania	Pennsylvania	Aargau	Ontario	Ontario	Ontario	Ontario	Ontario																																																																																																																																	United States	United States	United States	United States	United States	United States	United States	United States	United States	Switzerland	United States	United States	United States	United States	United States	Switzerland	Canada	Canada	Canada	Canada	Canada																																																																																																																																
Salem, Oregon, United States	1016.0761864577314	1362.9397722309752	5.906666666666682	2.2534812574720355	10	2741.959628140333	62.08442236306303	60.95075683279883	47.4373170786215	28.49807912749895	352.30972563661777	337.79834247965925	3562.609627680486	2904.62735709423	62.48660814400634																																																																																																																																												8.366666666666672	5.466666666666683	6.600000000000012	6.600000000000012	1.200000000000026	3.1333333333333577	4.266666666666687	7.533333333333342	7.800000000000008	8.100000000000007																																																																																																																																												Unknown	Illinois	New Jersey	New York	Oregon	Oregon	Florida	New York	Aargau	California																																																																																																																																												Unknown	United States	United States	United States	United States	United States	United States	United States	Switzerland	United States																																																																																																																																											
Salisbury, Maryland, United States	1013.8199513334823	1511.9035860933286	6.433333333333346	1.7331730695140828	4	129.45185206114817	157.76462720782266	135.6130467913879	3632.4502792735707																																																																																																																																																		8.266666666666673	3.633333333333356	7.333333333333343	6.500000000000012																																																																																																																																																		New York	North Dakota	Ontario	Aargau																																																																																																																																																		United States	United States	Canada	Switzerland																																																																																																																																																	
