citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	times0	times1	times2	times3	times4	times5	region0	region1	region2	region3	region4	region5	country0	country1	country2	country3	country4	country5	lat0	lat1	lat2	lat3	lat4	lat5	lon0	lon1	lon2	lon3	lon4	lon5
Langsa, Aceh, Indonesia	2731.9	0	6.4	0	1	2731.9560171883386						6.466666666666679						Queensland						Australia						-2.9789353487418584						121.33333333333333					
Atafu, Tokelau	2328.9	903.3	4.6	1.8	4	2502.724926927704	3670.2	1950.7	1192.2			3.966666666666688	4.8	2.3	7.5			Washington	Queensland	Washington	Balearic Islands			United States	Australia	United States	Spain			-17.859434920710186	6.816	-4.797	-19.143			208.58200571895424	158.196	204.757	185.777		
Jambi, Jambi, Indonesia	1917.9	0	7.5	0	1	1917.9847510242946						7.566666666666675						Balearic Islands						Spain						-8.459105061750464						119.50326797385621					
Palembang, Sumatera Selatan, Indonesia	1789.7	0	5.3	1.6	1	1789.7496874338476						5.300000000000017						Washington						United States						-2.6433126147493184						120.8616313061683					
Tawau, Malaysia	1784.1	0	6.7	1.1	1	1784.133542917895						6.700000000000012						Washington						United States						3.749610560681302						101.81969656352125					
Kota Kinabalu, Malaysia	1596.6	0	6.2	0	1	1596.6820476276487						6.26666666666668						Washington						United States						3.7904369386674						101.86571627348856					
Pekanbaru, Riau, Indonesia	1490.5	0	6	0	1	1490.590002395729						6.033333333333347						Washington						United States						-0.8164072184321666						114.7591863893995					
West Island, Cocos (Keeling) Islands	1369.2	313.2	4.5	1.1	2	1055.9769450878268	1682.5					5.600000000000016	3.4					Washington	Washington					United States	United States					-10.500690592831866	-19.977					106.36107760161356	110.344				
Ternate, Maluku Utara, Indonesia	1316.6	0	8	7.1	1	1316.6089975783423						8.000000000000007						Balearic Islands						Spain						-2.45479117301244						115.97385620915033					
Lahad Datu, Malaysia	1216.8	662.2	7.5	0.7	2	1879.1147797449585	554.6					6.866666666666678	8.3					Washington	Balearic Islands					United States	Spain					4.596972692921757	3.052					101.38221092473448	113.751				
Maina, Guam	1133	1390.7	6.3	1.4	5	3405.671127604709	2117.2	26.2	83	33.3		5.400000000000016	4.1	7.1	6.8	8.4		Queensland	Queensland	Washington	Washington	Balearic Islands		Australia	Australia	United States	United States	Spain		1.2175166542096951	7.44	13.295	13.059	13.169		173.09803921568627	163.111	144.897	144.091	144.732	
Palikir, Micronesia, Federated States Of	1120.3	568.1	5	1.7	4	1712.87001428814	1373.9	188.4	1206.4			4.366666666666687	4.6	3.3	7.9			Queensland	Washington	Washington	Balearic Islands			Australia	United States	United States	Spain			1.742075648743683	5.502	7.331	5.146			172.70588235294116	170.498	159.805	168.915		
Kupang, Nusa Tenggara Timur, Indonesia	1071.6	0	4.7	1.8	1	1071.605815331594						4.700000000000019						Washington						United States						-3.361932497867106						116.7186159620098					
Alotau, Papua New Guinea	1018.7	183.3	7.5	0.4	2	835.3012251740724	1202.1					7.1333333333333435	8					Washington	Balearic Islands					United States	Spain					-6.463640443267378	-3.502					143.9306640625	141.986				
Mataram, Nusa Tenggara Barat, Indonesia	1014.5	0	7.8	7.9	1	1014.5311849335009						7.800000000000008						Balearic Islands						Spain						-2.716891703099126						123.16339869281046					
Gold Coast, Queensland, Australia	974.4	0	7.6	0	1	974.4019000342073						7.666666666666675						Balearic Islands						Spain						-20.623345417863952						148.39215686274508					
Funafuti, Tuvalu	944.6	487.9	6.2	0.9	4	506.2769967256589	1666.536877059351	1118.2991557803857	487.5			6.100000000000014	5.066666666666684	7.700000000000008	6.1			Washington	Queensland	Queensland	Washington			United States	Australia	Australia	United States			-12.927532638204426	-0.4090693107788843	-13.480070103863817	-12.381			178.06710835375816	166.562091503268	188.13071895424838	177.111		
Alofi, Niue	892.6	345.5	4.8	1.5	3	1057.6838945054685	411.7468136507786	1208.398308922914				3.766666666666689	3.800000000000022	7.066666666666677				Washington	Queensland	Queensland				United States	Australia	Australia				-13.083343099962057	-18.44758035276906	-17.023203164609136				182.36947252859477	186.22222222222223	178.84967320261438			
Cairns, Queensland, Australia	818.2	0	7.4	8.8	1	818.2703000787621						7.400000000000009						Balearic Islands						Spain						-22.9376988122015						150.22222222222223					
Nadi, Fiji	797.6	1331.1	7	0.8	5	239.87086437316984	59.940814187155205	3456.3794463533577	58.7	173.5		7.20000000000001	6.26666666666668	6.600000000000012	6.5	8.5		Washington	Queensland	Queensland	Washington	Balearic Islands		United States	Australia	Australia	United States	Spain		-17.173194799725835	-17.949093132630093	-17.64932236888037	-17.554	-18.273		179.58090150122547	177.96078431372547	210.09150326797385	177.907	178.98	
Capitol Hill, Northern Mariana Islands	783.1	729.8	5.4	2.4	2	1513.0979100373602	53.3					3.0666666666666913	7.9					Queensland	Balearic Islands					Australia	Spain					7.440959500002658	14.95					134.35294117647058	146.169				
Leava, Wallis And Futuna	737	0	8	7.1	1	737.0946012972379						8.000000000000007						Balearic Islands						Spain						-19.143031589683332						186.562091503268					
Taree, New South Wales, Australia	712.2	0	6	0	1	712.2178922694004						6.033333333333347						Washington						United States						-25.559935747893572						153.52018229166666					
Vanimo, Papua New Guinea	711	206.8	6.9	0.4	3	592.48203436126	538.8	1001.9				6.533333333333346	6.8	7.5				Washington	Washington	Balearic Islands				United States	United States	Spain				-5.91196040717828	-6.388	-8.459				145.56037454044116	144.444	148.261			
Papeete, French Polynesia	704.1	381.1	5.9	1.2	4	892.32599217836	935.8	943.6	44.9			5.33333333333335	5.3	5	8.1			Queensland	Washington	Washington	Balearic Islands			Australia	United States	United States	Spain			-17.89916636310558	-18.011	-16.746	-17.899			218.84967320261438	219.258	219.276	210.614		
Gorontalo, Gorontalo, Indonesia	680.6	0	2.9	2.5	1	680.6539415836961						2.9000000000000252						Washington						United States						-1.8443665899344857						117.43567612591912					
Kendari, Sulawesi Tenggara, Indonesia	659.7	0	7.8	7.9	1	659.7197903532						7.800000000000008						Balearic Islands						Spain						-2.847920978345711						116.75816993464052					
Majuro, Marshall Islands	609.6	285.2	6	1.7	3	906.4237887557201	697.8	224.6				6.000000000000014	3.9	8.1				Washington	Washington	Balearic Islands				United States	United States	Spain				-0.40545992148008486	1.513	5.146				174.56147875816993	174.242	170.875			
Brisbane, Queensland, Australia	599.6	402.7	4.9	0.8	2	1002.3378468980159	196.9					4.066666666666688	5.8					Washington	Washington					United States	United States					-36.057924433622496	-26.649					149.86273871527777	151.263				
Wewak, Papua New Guinea	596.4	141.3	7.1	1.2	2	455.0978986512405	737.8					5.866666666666681	8.4					Washington	Balearic Islands					United States	Spain					-6.2225124064739825	-8.459					146.7511106004902	148.13				
Medan, Sumatera Utara, Indonesia	581.1	0	5.2	0	1	581.1876442316234						5.2666666666666835						Washington						United States						-0.16559115825265822						102.29773667279412					
Avarua, Cook Islands	578.2	684.4	5.6	1.2	4	219.1023487121418	150.1	1762.9	180.7			4.233333333333354	5.4	5.5	7.6			Washington	Washington	Washington	Balearic Islands			United States	United States	United States	Spain			-22.73208176074213	-20.277	-27.225	-20.623			201.65042892156862	201.252	216.375	201.856		
Port-Vila, Vanuatu	576	0	0.9	2.5	1	576.0719315039419						0.9000000000000253						Washington						United States						-12.693631691772318						167.0721826491013					
Whangarei, New Zealand	575.3	0	5.8	1.5	1	575.3956067873228						5.800000000000015						Washington						United States						-40.814724579377284						175.5175589767157					
Mendi, Papua New Guinea	558.9	0	8.5	0	1	558.9658693290054						8.533333333333339						Balearic Islands						Spain						-8.718530433185494						148					
Mackay, Queensland, Australia	551	0	4.3	2	1	551.0596369675637						4.30000000000002						Washington						United States						-25.43263522371044						151.85456878063727					
Orange, New South Wales, Australia	476.6	0	7.7	7.9	1	476.67653767750267						7.700000000000008						Balearic Islands						Spain						-30.65717193248974						153.09803921568627					
Griffith, New South Wales, Australia	457.2	0	3.4	0	1	457.277456850777						3.46666666666669						Washington						United States						-35.53911629762311						150.81881893382354					
Padang, Sumatera Barat, Indonesia	425.2	0	5.3	0	1	425.26915754818737						5.33333333333335						Washington						United States						2.660056839912483						99.12585369434233					
Tarawa, Kiribati	394.8	0	8.2	7.1	1	394.87888381693176						8.200000000000006						Balearic Islands						Spain						4.884830651843483						172.83660130718954					
Johor Bahru, Malaysia	384	0	7.7	0	1	384.0122799121102						7.766666666666675						Balearic Islands						Spain						3.969292601504829						101.33333333333333					
Auckland, New Zealand	371.3	0	4.6	1.9	1	371.350867139295						4.600000000000019						Washington						United States						-40.14573836374777						175.4378893484477					
Port Moresby, Papua New Guinea	350.8	0	2.8	0	1	350.87112535517747						2.833333333333359						Washington						United States						-6.309472430273072						147.15384369893792					
Dili, Timor-Leste	342.7	366.5	4.4	2.7	4	163.35653059873363	962.6862590528534	13.138391191357583	231.7			6.966666666666677	2.7666666666666924	0.766666666666692	7.1			Washington	Queensland	Queensland	Washington			United States	Australia	Australia	United States			-9.003509926942852	-3.1361319568172488	-8.459105061750464	-9.477			126.996479907067	132.36601307189542	125.51633986928104	127.474		
Goulburn, New South Wales, Australia	340.7	0	7.8	7.9	1	340.70965741937084						7.800000000000008						Balearic Islands						Spain						-32.22401865088746						151.79084967320262					
Blitar, Jawa Timur, Indonesia	322.7	0	4.6	0	1	322.754192376733						4.633333333333352						Washington						United States						-7.103563531947966						109.38866549223856					
Teluk Intan, Malaysia	290.9	0	6.3	0	1	290.9460589777425						6.36666666666668						Washington						United States						3.9091659551635325						103.65218338311887					
