citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34
Boa Vista, Roraima, Brazil	3011.74913622507	391.23126689196954	7.1824561403508875	1.1019583004948685	19	2794.7771297549743	2919.5461773138886	2922.5206549581917	3419.551369320884	3280.3691444484252	3262.4060366893023	3266.1335474509224	2629.59327166489	3264.670513456425	3247.975515493892	1912.3994399968349	2956.441885349877	2663.568752952604	2966.467361324468	3305.8459792243893	3410.7450175629333	2450.166175931233	3573.536802096721	2976.518813285464																	5.466666666666683	8.400000000000006	8.000000000000007	7.1333333333333435	6.500000000000012	5.933333333333348	7.533333333333342	7.066666666666677	5.166666666666684	9.06666666666667	5.633333333333349	7.566666666666675	7.933333333333341	8.000000000000007	7.800000000000008	8.533333333333339	7.366666666666676	5.766666666666682	7.6000000000000085																	Ontario	California	California	California	California	California	California	New York	California	California	California	North Carolina	Aargau	Aargau	Aargau	Alberta	Florida	Aargau	Aargau																	Canada	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	Switzerland	Switzerland	Switzerland	Canada	United States	Switzerland	Switzerland																
Talara, Peru	2021.5596653167995	1588.8954505317422	6.653333333333345	2.508084705285857	5	524.5715200774747	1190.4327688495841	2263.5980820000377	4995.499049957627	1133.6969056992739																															8.100000000000007	8.566666666666672	2.0000000000000284	6.033333333333347	8.566666666666672																															Alberta	Aargau	England	England	Aargau																															Canada	Switzerland	United Kingdom	United Kingdom	Switzerland																														
Río Gallegos, Argentina	1918.0888236003113	547.0664777511282	7.750000000000009	0.3562926387738645	4	2207.8119412035626	2161.712120236345	2326.5474295318663	976.2838034294708																																7.866666666666674	8.13333333333334	7.833333333333341	7.166666666666677																																Aargau	Aargau	Aargau	Aargau																																Switzerland	Switzerland	Switzerland	Switzerland																															
San Salvador de Jujuy, Argentina	1903.3816008346619	1411.1210503374318	6.87777777777779	1.9056122440547374	6	4965.481538553223	1329.2800707365368	723.74331504422	1488.3267194258055	1830.0337827828712	1083.4241784653138																														6.933333333333344	8.266666666666673	7.833333333333341	2.733333333333359	7.400000000000009	8.100000000000007																														California	Aargau	Aargau	Saarland	Saarland	Aargau																														United States	Switzerland	Switzerland	Germany	Germany	Switzerland																													
Cruzeiro do Sul, Acre, Brazil	1863.4625166463468	1487.2747545010966	7.248148148148157	0.590064049905089	9	3269.8263987430964	3854.0053112374158	2258.95382977972	3210.6042889390933	3135.3416897970255	182.8086512238356	414.2505184669865	35.91513751854667	409.4568241114012																											8.03333333333334	8.066666666666674	7.266666666666676	7.033333333333344	7.1333333333333435	7.466666666666676	6.2000000000000135	6.500000000000012	7.533333333333342																											California	Aargau	Aargau	Saarland	Aargau	Aargau	Aargau	Aargau	Aargau																											United States	Switzerland	Switzerland	Germany	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																										
Rio Branco, Acre, Brazil	1786.6810071538223	1046.4053968394312	6.370833333333346	2.6658559965692836	8	2361.68769399019	806.2322291160351	2916.1363412253854	2618.782733583456	2697.9581334833033	176.38473478445164	433.75433269921575	2282.5118583485423																												3.7333333333333556	0.3333333333333588	8.03333333333334	7.6000000000000085	8.466666666666672	7.966666666666674	7.266666666666676	7.566666666666675																												Cordoba	California	Aargau	Aargau	Alberta	Aargau	Aargau	Baden-Württemberg																												Argentina	United States	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Germany																											
Comodoro Rivadavia, Argentina	1734.2086638075568	296.5017432315586	8.20833333333334	0.2701594179574545	4	2187.9989361186026	1742.0181437684148	1363.534969379405	1643.2826059638046																																8.566666666666672	8.366666666666672	7.9000000000000075	8.000000000000007																																Alberta	Aargau	Saxony	Aargau																																Canada	Switzerland	Germany	Switzerland																															
Leticia, Colombia	1624.4598435918108	0	7.966666666666674	0	1	1624.4598435918108																																			7.966666666666674																																			Aargau																																			Switzerland																																		
Punta Arenas, Chile	1567.2897230532321	716.1484679770341	7.859259259259267	0.511781632102476	9	2458.5094196188224	2235.6659467805034	1288.9824656832127	1546.890647313183	1132.5061759024863	66.44255473096374	1916.4620381503196	1146.7862544714242	2313.362004828175																											8.000000000000007	8.300000000000006	7.666666666666675	8.23333333333334	7.500000000000009	6.633333333333345	8.400000000000006	7.966666666666674	8.03333333333334																											California	California	Aargau	Alberta	Aargau	Aargau	Alberta	Aargau	California																											United States	United States	Switzerland	Canada	Switzerland	Switzerland	Canada	Switzerland	United States																										
Cabimas, Venezuela	1549.744192446594	2612.4014189503214	7.928571428571436	1.0891133092812273	7	741.7508632596262	521.0235348964223	112.02910023693302	616.7504425337863	670.99075403667	257.6618823640615	7928.002769798659																													8.300000000000006	8.900000000000004	8.500000000000005	5.466666666666683	7.4333333333333425	8.600000000000005	8.300000000000006																													Aargau	California	Aargau	England	England	Aargau	England																													Switzerland	United States	Switzerland	United Kingdom	United Kingdom	Switzerland	United Kingdom																												
Ji-Paraná, Rondônia, Brazil	1474.374568980287	2074.3651154951585	6.819047619047631	1.6511522809466317	14	2139.876603697544	2720.7313370098086	515.5139615224413	808.3900582679033	98.8948756927589	162.52112150012022	133.89220918950437	1904.5161835259944	201.9736206197842	95.09950696354007	2646.8034207465753	974.1557361832802	110.14387984779117	8128.731450956968																						5.466666666666683	8.100000000000007	7.800000000000008	7.066666666666677	7.566666666666675	8.533333333333339	8.03333333333334	6.566666666666679	7.10000000000001	7.800000000000008	4.0333333333333545	2.4666666666666934	7.633333333333342	7.30000000000001																						Cordoba	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Saxony	Aargau	Aargau	England	England	Aargau	England																						Argentina	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Germany	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	United Kingdom																					
Vilhena, Rondônia, Brazil	1441.8333807560134	874.6034756982325	7.313333333333342	1.224127807415908	10	612.1091214882206	1735.158104287722	2042.539274356784	2191.071794048978	471.0795732837274	2387.749043099161	395.0327994335	1789.8922775505093	2599.872562676412	193.82925733511985																										8.166666666666673	6.933333333333344	8.433333333333339	8.200000000000006	8.400000000000006	7.933333333333341	7.400000000000009	4.933333333333351	5.133333333333351	7.6000000000000085																										New South Wales	North Carolina	Aargau	Aargau	Aargau	Alberta	Aargau	England	England	Aargau																										Australia	United States	Switzerland	Switzerland	Switzerland	Canada	Switzerland	United Kingdom	United Kingdom	Switzerland																									
Arica, Chile	1332.4244037573603	720.3081136968266	7.133333333333344	1.8303438830336518	7	964.9435762416729	1832.1361864485475	570.4335264496867	1972.7895795610966	1785.2373336155397	2086.625301522042	114.80532246293664																													2.9333333333333584	8.166666666666673	8.23333333333334	8.23333333333334	8.500000000000005	7.366666666666676	6.500000000000012																													Texas	Aargau	Aargau	Aargau	Aargau	Aargau	Baden-Württemberg																													United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Germany																												
Iquique, Chile	1309.9650204902623	476.0081067504151	8.186666666666673	0.16679994670929013	5	2051.3423863905737	1277.024699599762	556.0105042365857	1253.0061533591447	1412.4413588652449																															7.866666666666674	8.23333333333334	8.200000000000006	8.33333333333334	8.300000000000006																															Cordoba	North Carolina	Aargau	Aargau	Aargau																															Argentina	United States	Switzerland	Switzerland	Switzerland																														
Trelew, Argentina	1295.685265070865	358.36239411704497	8.200000000000006	0.3849001794597492	6	746.0063307761886	1395.4468182629619	1737.3300237321598	884.3581227580125	1561.0290159396768	1449.9412789561904																														7.933333333333341	8.800000000000004	8.23333333333334	8.23333333333334	8.433333333333339	7.566666666666675																														California	Aargau	Aargau	Aargau	Aargau	Aargau																														United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																													
Ariquemes, Rondônia, Brazil	1262.3626478322665	973.6243101910414	7.730000000000008	0.28846336181759813	10	2305.716012254781	2230.3748155442418	274.69496396636595	777.2694524445907	2533.9220350368705	2487.816705303457	224.39008180659016	1283.405622774605	320.1894160043321	185.84737318683025																										7.766666666666675	7.4333333333333425	7.566666666666675	7.633333333333342	7.533333333333342	7.466666666666676	8.066666666666674	7.466666666666676	8.13333333333334	8.23333333333334																										New South Wales	Stockholm	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																										Australia	Sweden	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																									
Guajará-Mirim, Rondônia, Brazil	1262.2291931851826	1244.0142303796251	7.503508771929833	0.8302676759128579	19	3498.2101675348404	2710.0443608090222	1049.2213098432178	2540.1446510200117	3223.3424457617543	705.0699158714715	2852.7036293458186	2297.836106663352	115.28773676684816	251.43359242184223	2749.4539583341643	315.69610983426924	275.69059302972016	443.01702065008624	331.02096061082307	278.4980191153578	123.60621254533251	107.39341984608923	114.68446051444712																	8.23333333333334	6.400000000000013	7.4333333333333425	7.766666666666675	5.33333333333335	8.166666666666673	6.100000000000014	6.36666666666668	8.13333333333334	8.23333333333334	8.400000000000006	7.833333333333341	8.13333333333334	7.30000000000001	8.000000000000007	7.700000000000008	7.333333333333343	7.733333333333341	7.966666666666674																	California	Texas	New South Wales	New South Wales	Ontario	Aargau	Saarland	Saarland	Aargau	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																	United States	United States	Australia	Australia	Canada	Switzerland	Germany	Germany	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																
