date,total,new_clicks
2026-03-12,3114235,0
2026-03-13,3115185,950
2026-03-14,3115657,472
2026-03-15,3115819,162
2026-03-16,3116064,245
2026-03-17,3116614,550
2026-03-18,3117272,658
2026-03-19,3117522,250
2026-03-20,3119116,1594
2026-03-21,3119944,828
2026-03-22,3121178,1234
2026-03-23,3122662,1484
2026-03-24,3123307,645
2026-03-25,3123995,688
2026-03-26,3126335,2340
2026-03-28,3127543,1208
2026-03-29,3127723,180
2026-03-30,3128541,818
2026-03-31,3128959,418
2026-04-02,3130046,1087
2026-04-03,3130716,670
2026-04-04,3130823,107
2026-04-05,3131298,475
2026-04-06,3131464,166
2026-04-07,3131553,89
2026-04-08,3131748,195
2026-04-09,3131868,120
2026-04-10,3132293,425
2026-04-11,3132829,536
2026-04-12,3133480,651
2026-04-13,3133624,144
2026-04-14,3133938,314
2026-04-15,3134443,505
2026-04-16,3134659,216
2026-04-17,3135530,871
2026-04-18,3135778,248
2026-04-19,3136061,283
2026-04-20,3136403,342
2026-04-21,3136871,468
2026-04-22,3137191,320
2026-04-23,3138511,1320
2026-04-24,3139075,564
2026-04-25,3139348,273
2026-04-26,3139586,238
2026-04-27,3140203,617
2026-04-28,3140816,613
2026-04-29,3141584,768
2026-04-30,3142515,931
2026-05-02,3143677,1162
2026-05-03,3144058,381
2026-05-04,3144315,257
2026-05-05,3144741,426
2026-05-06,3144978,237
2026-05-07,3145274,296
2026-05-08,3146544,1270
2026-05-09,3147499,955
2026-05-18,3149641,2142
2026-05-19,3149791,150
2026-05-20,3150217,426
2026-05-21,3151127,910
2026-05-22,3151347,220
2026-05-23,3151588,241
2026-05-24,3151698,110
2026-05-25,3151884,186
2026-05-26,3151996,112
2026-05-27,3152279,283
2026-05-29,3155186,2907
2026-05-30,3155644,458
2026-05-31,3155711,67
2026-06-01,3155883,172
2026-06-02,3156180,297
2026-06-03,3156257,77
2026-06-04,3157542,1285
2026-06-05,3158129,587
2026-06-06,3158376,247
2026-06-07,3158816,440
2026-06-08,3158929,113
2026-06-09,3159959,1030
2026-06-10,3160551,592
2026-06-11,3161642,1091
2026-06-12,3162659,1017
2026-06-13,3163187,528
2026-06-14,3164620,1433
2026-06-15,3165246,626
2026-06-16,3168982,3736
2026-06-17,3169492,510
2026-06-18,3169995,503
2026-06-19,3170907,912
2026-06-20,3171716,809
2026-06-21,3172241,525
2026-06-22,3172694,453
2026-06-23,3173445,751
2026-06-24,3173803,358
